Food_Name;Energi;Protein;Karbohidrat_total;Lemak_total
Chatime pearl milk tea (no sugar;216;1;57.9;14
Cheesecake Factory carrot cake;1710;15;57.9;122
Cheesecake Factory Hot fudge sundae;1310;20;57.9;86
Cheesecake Factory Oreo dream extreme cheesecake;1620;17;57.9;99
Cheesecake Factory oreo milkshake;1680;27;57.9;94
Cheesecake Factory original cheesecake;830;12;57.9;58
Cheesecake Factory ultimate red velvet cake cheesecake;1570;14;57.9;116
Cheetos Crunchy;160;2;57.9;10
Cheetos jagung bakar;50;1;57.9;3
Cheetos Puffs;160;2;57.9;10
Chicki Taro Net rasa BBQ;90;1;57.9;2.5
Chili Cheese Fries ( 1 porsi;500;16;80.59;25
Chitato;110;2;80.59;6
Chitato fresh potato;110;1;80.59;6
Chocodrink;120;2;80.59;2.5
Cimory Soyamilk;260;10;80.59;6
Cimory yogurt drink;180;6;80.59;2
Cimory yogurt set;100;3;80.59;2.5
Cimory yogurt set low fat;60;5;80.59;1.5
Club;0;0;54.5;0
Coca cola;136;0.26;16;0.07
Coca cola zero sugar;0;0;15.6;0
Coco pops;120;2;1.4;0.5
Coklat Guylian milk chocolate;498;6.9;50;37
Coklat Hershey's kisses milk chocolate;22;0.3;30.5;1.3
Coklat Hershey's milk chocolate;22;0.3;40;1.3
Cold Stone Creamery Banana Caramel;740;13;41;41
Cold Stone Creamery chocolate Devotion;870;13;40;45
Cold Stone Creamery Cookie Doughnut;910;12;40;46
Cold Stone Creamery Mud Pie Mojo;940;19;49;59
Cold Stone Creamery Oreo Overload;910;12;49;49
Cold Stone Creamery Peanut Butter cup;890;18;32.1;55
Combro;102;4.26;23;4.36
Cookies Oat krunch coklat gelap;120;2;20;4.5
Coolant minuman;100;0;6.3;0
Corn flakes;110;2;5.2;0
Croissant;180;3;18;9
Curry Croquette;180;1;10.4;9
Dadar jagung;91;1.87;3.7;5.45
Dairy cream Achor whipping cream;335;2.4;50.6;35.5
Dairy cream Anchor cream cheese;350;8.8;30.19;34.2
Dairy cream elle & vire cooking cream;338;2.1;30.19;35.1
Dairy cream elle & vire whipping cream;336;2.1;17.2;35.1
Dairy cream milkana cream cheese;345;5.2;0.2;34
Dairy cream Millac gold cooking cream;328;2.7;13;33.5
Dairy queen banana split;520;9;13;14
Dairy queen chocolate dipped cone;460;9;13;22
Dairy queen hot fudge sundae;430;9;28.6;15
Dairy queen mocha moolatte;580;10;57.4;22
Dairy queen oreo cookie blizzard;780;15;67.7;29
Dairy queen Vanilla cone;330;9;36;9
Dalgona coffe;306;9.25;20.5;7.05
Deep Fried Chinese Bun;280;3.2;82.8;15
Deep Fried Meat Dumpling;170;2.4;21;7.8
Deep Fried Wonton;99;2.2;14;6.7
Dendeng sapi sumber  selera;190;17;0;4.5
Diabetasol (vanilla malt;170;8;9.45;4
Diabetasol sweetener;0;0;0;0
Domino Pizza Beef Pepperoni feast;370;16;52;17
Domino Pizza Bread sticks;130;3;52.77;7
Domino Pizza Chessy bread;140;4;14;7
Domino Pizza Extravaganza;390;17;10;18
Domino Pizza Meatzza;370;16;22;17
Domino Pizza Veggie  Mania;310;13;4;11
donat Krispy kreme chocolate iced;240;3;7.3;11
donat Krispy kreme classic cinnamon;190;3;7.8;11
donat Krispy kreme glazed chocolate cake;250;3;9.4;10
donat Krispy kreme mini original glazed;83.3;1;14;4.3
donat Krispy kreme oreo chocolate cream;390;4;10;21
donat Krispy kreme original glazed;190;3;10.4;11
Doritos barbeque;100;2;5.8;4.5
Dua kelinci kacang garing;160;8;9.2;12
Dua kelinci kacang polong;120;3;16.2;5
Dua kelinci sukro;130;2;5.3;7
Dunkin' donuts chocolate frosted donut;280;3;4.4;15
Dunkin' donuts Double chocolate donut;350;4;6.8;20
Dunkin' donuts Glazed Donut;260;3;8;14
Dunkin' donuts Peanut Donut;450;7;5.8;26
Dunkin' donuts Strawberry Frosted donut;280;3;10.9;15
Dunkin' donuts sugar raised;230;3;9.1;14
Ekstrak Vanili, Vanila;288;0.1;14.3;0.1
Elle vire yogurt;90;2.3;7.5;3.1
Energen Oat milk;100;3;4.7;2
Energen sereal cokelat;130;1;4.5;3.5
Entrasol (coklat;140;5;5.8;2.5
Entrasol Quick Start Chia Seeds;130;2;11.8;3.5
Es batu;0;0;21.3;0
Es krim Aice Blueberry Yoghurt;90;1;11.4;2.5
Es krim Aice choco cookies;220;2;38.8;16
Es krim Aice chocolate condensed;150;2;5.3;6
Es krim Aice coklat sundae;100;2;3.1;4
Es krim Aice Durian cup;180;1;7.2;7
Es krim Aice Mango Slush;80;1;6.9;1
Es krim Aice sweet corm;80;1;17.9;3.5
Es krim Diamond durian;100;2;8.4;6
Es krim Diamond kacang hijau;220;4;11.9;11
Es krim Diamond vanilla;110;2;6.9;6
Es krim Wall's double dutch;150;3;49;7
Es krim Wall's oreo chocolate;140;2;10.5;4
Es krim Wall's oreo cookies cream;140;2;8.5;7
Es teh manis;90;0.02;7.6;0
Es teh tawar;2;0.02;15.2;0
Eskrim cornetto chocolate;260;3;25.2;12
Eskrim cornetto oreo;240;2;7.1;11
Eskrim Magnum classic;240;3;10.7;13
Eskrim magnum white almond;230;3;4.8;14
Eskrim paddle pop choco magma;70;1;7.1;2.5
Eskrim walls feast vanila;140;2;6.1;8
Esprecielo caramel macchiato;110;1;5.9;4
Espresso;3;0.04;13.5;0.05
Etira singkong stik;170;1;13.9;1
Familia Choco crunch;461;8;13;19
Familia knusper cruch;464;8;10.8;20
Fitbar;90;3;33;2.5
Fitmee ayam bawang;30;0;21;0
Fitmee mie goreng Korea;150;1;7.4;4
Fitmee rasa soto;60;0;14;2
French fries;380;5;6;17
Frisian flag belgian chocolate low fat;150;7;21;2.5
Frisian flag california strawberry low fat;150;7;8;2.5
Frisian flag coconut delight;160;6;9.2;5
Frisian flag cokelat (kental manis;135;1;21;4.5
Frisian flag french vanilla low fat;110;7;26;2.5
Frisian flag full cream;140;7;1;7
Frisian flag gold (kental manis;130;3;10;3.5
frisian flag purefarm swiss chocolate;160;5;40.9;5
Frisian flag putih (kental manis;140;1;65.9;4
Frisian flag sweet delight;150;6;76.1;6
Froot Loops;120;2;51.9;0.5
Frozen food Mantou Plain;120;2;80.3;1
Frozen food Mantou Plain coklat;120;3;0;1.5
Frozen food Pancake Original;160;4;1;7
Frozen food Pizza Base;110;3;36;1
Frozen food Puff Pastry Sheet;200;3;14;13
Fruit Tea apple;240;0;14;0
Fruit Tea Lemon;240;0;37;0
Fruit Tea yuzu;220;0;37;0
Garlic parmesan (classic wings;206;16;12;15
Gekikara ramen 109 gram;500;9;39;18
Getas bangka super superindo;550;5;13;30
Gilus mix sensasi aroma pandan (isi 10 sachet;90;1;52.6;0.5
Gingerbread (Kue Jahe;356;3.9;52;16
Go Natural fruit and nut delight;230;6.2;24;13.5
Go Natural nut delight;206;6.2;31;15.4
Go Potato;100;2;22;4
Golda Coffee;140;2;0;2
Golden Farm corn kernel;70;3;20.6;1
Golden Farm french fries;170;3;15;4.5
Golden Farm frozen pea;90;7;18;1
Golden Farm mixed vegetable;70;3;23;1
Good day cappuccino;170;1;14;3.5
Good Day rock caramello 3 in 1 200g;100;1;28;4.5
Granola Bites chocolate vanilla;159;3;12;8
Granola bites coconut banana;129;2;18;6
Granola creation cinnamon and raisin;225;7;21;5
Granola creation dark chocolate;236;7;17;7
Granola creation honey and mango;222;7;23.44;5
Granola creation tropical fruit and nuts;162;7;0.67;5
Ha-Gau;50;2.1;29;2.1
Happytos;144;2;28.88;7
Heavenly blush greek yogurt;170;6;28.88;9
Herba Penawar Alwahida Indonesia;104;1;28.88;3
Hershey's Spreads;190;3;28.88;12
Hickory smoked BBQ  (classic wings;171;15;28.88;8
Hoka hemat 4;413;20.3;28.88;15.3
Hokben Bento special 1;612;24.2;28.88;23.6
Hokben Chicken karaage;340;25;0;20.5
Hokben paket B;522;26.3;4;22.4
Hokben Paket C;625;35.4;53;24.1
Hokben Tori Ball;250;7;8;14
Honey Stars;110;1;25;0.5
Hydro coco;60;0;24;0
Hydromama;0;0;25;0
Ice Cone;190;5;23;4.5
Indofood cap enak (kental manis;120;1;3.33;4
Indomie ayam geprek;410;9;5;20
Indomie goreng;380;8;2.5;14
Indomie goreng Jumbo;560;21;6.2;13
Indomie goreng sambal matah;410;8;3.2;20
Indomie goreng sambal rica rica;420;8;6;22
Indomie kari ayam;320;7;3.2;12
Indomie mi goreng;300;8;7.8;14
Indomie mi goreng aceh;430;9;12.7;19
indomie mi keriting goreng spesial;400;10;48.5;15
Indomie mi kuah;300;7;5.6;11
Indomie mi rendang;420;9;0.3;16
Indomie rasa ayam bawang;300;7;25;11
Indomie rasa ayam special;300;7;25;10
Indomie rasa kaldu ayam;340;6;16.7;12
Indomie rasa soto lamongan;360;10;16.7;14
Indomie salted Egg;480;11;1.5;25
Indomie soto padang;330;8;18;14
Indomie soto spesial;330;7;20;14
Indomie tengkleng;350;9;8;14
Indomilk (kental manis;120;1;21;3.5
indomilk susu uht rasa pisang;140;4;47.2;4.5
Irvin Salted egg fish skin (Hot;300;15;15;21
Irvins Salted egg cassava chips;260;3;52.8;15
Irvins Salted egg potato chips;310;5;64;24
Irvins Salted egg potato chips (Hot;320;4;15;26
Jasuke, jagung susu keju;86;3.22;2.6;1.18
Jif extra crunchy;190;7;0.8;16
Jules drestrooper speculoos;545;3;0.4;35
Kecap asin;8;1.3;48;0.09
Kecap manis;45;1;44;0.1
Keju Anchor processed cheddar cheese;45;3;18;3.5
Keju Arla Mozzarella Shredded;76;6;13;5.3
Keju Castello Brie;73;5;22;6
Keju Castello camembert;73;5;62.3;6
Keju cheddar;404;22.87;11;33.31
Keju Diamond cheddar;70;5;27;2
Keju greenfields ricotta;110;4;19;9
Keju greenfileds mozzarella;90;7;17;6
Keju kraft cheddar;70;4;33.3;5
Keju Kraft Milky Soft;90;3;69.1;7
Keju kraft quick melt;100;5;28.4;7
Keju Kraft Singles;50;3;73.7;3.5
Keju Kraft Singles BBQ Chicken;60;2;19;4
Keju Kraft Singles Light;40;3;21;2.5
Keju Lemnos Fetta Cheese;83;5.4;7.4;6.9
Keju Lemnos Grated Parmesan;38;3.3;31.5;5.6
Keju Meg cheddar;90;6;30.3;7
Keju mozzarella;280;27.5;79.5;17.1
Keju parmesan;420;28.42;76.2;27.84
Keju Snow Brand Cheddar;100;5;78;8
Kelapa parut;283;3;10.1;27
Kentang Balado;102;8.72;2.8;3.02
Kentang Goreng;274;3.48;5.5;14.06
kentang rebus;76;1.37;0.21;0.14
keripik Qtela singkong;100;0;7.1;5
Keripik Qtela ubi ungu;100;0;8.8;5
kerupuk ikan superindo;520;4;27.1;28
kerupuk kapsul mini pedas superindo;460;8;27.4;18
kerupuk kemplang mangkok superindo;600;5;18.3;40
Kerupuk Kulit;422;83;16;4
kerupuk seblak superindo;460;8;27.5;21
kerupuk stik tenggiri superindo;475;15;58;20
Kewpie Caesar;70;1;3.4;6
Kewpie cokelat kopi;90;1;64.6;5
Kewpie cokelat pisang;90;1;66.9;6
Kewpie Kecap Jepang;60;1;56.2;5
Kewpie keju;60;0;28.2;4.5
Kewpie mayonais original;100;1;28;11
Kewpie Original;70;0;24.7;6
Kewpie Thousand island;70;1;19.8;6
Kewpie Tomat pedas;80;1;58.5;6
Kewpie Vanila Matcha;80;0;68.6;5
Kewpie Vanila Stroberi;90;6;7.6;6
Kewpie Wijen sangrai;90;1;5.8;7
KFC extra crispy dada;530;35;5.3;35
KFC extra crispy paha atas;330;22;7.9;23
KFC extra crispy paha bawah;170;10;57.7;12
KFC extra crispy sayap;170;10;17.4;13
KFC Original recipe dada;390;39;25.5;21
KFC Original recipe paha atas;280;19;8;19
KFC Original recipe paha bawah;130;12;12.8;8
KFC Original recipe sayap;130;10;24.1;8
Kin bulgarian style yogurt strawberry;170;4;72.9;3.5
Kin bulgarian yogurt blueberry;165;4;60.6;4
Kin bulgarian yogurt orange;150;3;69.3;2.5
King's Fisher sarden goreng balado;120;8;13.71;8
King's Fisher sarden sambal bangkok;70;8;7.1;2
KitKat;90;1;6.6;5
koko crunch cup;70;1;32.6;0.5
Koko krunch;110;2;4.7;1
Kolak;163;2.01;3.9;8.83
Konimex Diasweet;0;0;27.8;0
Kopi Good day the original;90;1;20.8;2.5
Kopi hitam tanpa gula;2;0.28;9;0.05
Kopi Indocafe cappuccino;110;2;0.79;3
Kopi Indocafe coffemix 3 in 1;90;1;11;2
kopi Indocafe white;60;1;73;3.5
Kopi Kapal api grande white coffe;90;1;5.8;2
kopi Karniel coffee7 caramel macchiato;100;2;55.2;4
Kopi luwak white koffie;90;1;10.3;2
kopi Nescafe 3in1 creamy;80;0;10.4;2
kopi Nescafe green coffe;90;0;13.1;2.5
kopi seduh;5;0.74;0;0
kopi tropicana slim white coffe;80;2;0.03;3
Kopiko 78'C coffe latte;160;4;0.03;3
Kratingdaeng Pro;120;0;3.1;0
Krupuk Bocah Tua (mentah;340;1;36.5;0
Krupuk udang Ny. Siok (mentah;70;2;14;0
Kue Beras;224;4.64;13;0.77
kue nastar;40;0.6;25.6;2.1
Kusuka keripik emping;140;2;72;9
Kusuka keripik singkong;100;0;73.6;4.5
Kusuka keripik ubi;110;1;41.7;7
L-MEN 2 GO;90;8;42;2
la fonte makaroni rasa sup ayam;140;6;1.83;1
La Fonte Makaroni rasa sup sayuran;130;5;71.3;0.5
La pasta royale cheese bolognese;340;10;78.5;6
La pasta royale hot and spicy;330;9;55;7
La Pasta Royale with cheese bolognese sauce;340;10;76.9;6
La Pasta Royale with hot and spicy sauce;330;9;0;7
Labu siam tumis;46;1.08;60;1.75
Lays 14g;110;1;3;7
Lays krim dan bawang;110;2;5;6
Le mineral;0;0;4;0
Lele goreng;240;17.57;4;14.53
Lemon pepper (classic wings;180;15;5;13
Loacker chocolate;511;7.7;3;26
Lotus Biscoff;584;2.9;4;38.1
Lousiana rub (classic wings;171;15;6;12
Lovy cookies chocobutter;150;2;79.32;8
Lovy cookies coffeeccino;150;2;79.32;7
Luwak white coffe;130;4;0;2
Mackerel ayam brand saus tomat;130;13;15;8
Mackerel Maya saus tomat;100;16;23;3
Mama Suka Rumput Laut  Panggang, Pedas;25;1;35;2
Matcha Tea Latte;190;6.5;27;4
Mayonnaise;103;0;20;11.67
Mcdonald Apple pie;230;2;20;10
Mcdonald Big mac burger;540;25;20;28
Mcdonald Cheeseburger;300;15;20;12
Mcdonald Double cheeseburger;430;25;20;21
Mcdonald Eeg  mcmuffin;300;18;20;12
Mcdonald Hamburge;250;13;20;8
Mcdonald Hotcakes;600;9;20;16
Mcdonald kentang gorengg / french fries;340;4;20;16
Mcdonald Mc double;380;23;20;18
Mcdonald Mcnugget;270;15;20;16
Mcdonald Sausage Mcmuffin;400;14;20;25
Mcdonald Triple cheeseburger;520;32;20;28
Mcfloat;107;1.04;20;11.03
MEEJU Classic Cheese;370;7;20;16
Meises coklat;120;0;2;4
Mi ABC cup baso sapi;290;7;15.06;13
Mi ABC cup mi ayam jamur;390;7;48.69;20
Mi ABC cup soto ayam;280;7;70;13
Mi sedaap cup mi goreng;390;6;79.3;18
Mi sedap cup  mi kuah baso;350;8;49.6;15
Mi sedap cup mie goreng;390;6;44.1;18
Mi sedap cup mie kuah soto;370;8;67.64;16
Mie kering;138;4.5;8;2.1
Mie Lemonilo ayam bawang;267;9;20.7;4
Mie Lemonilo kari ayam;270;8;4.7;5
Mie Lemonilo mie goreng;300;8;9.1;6
Mie Sedaap baso spesial;340;9;1;13
Mie Sedaap Cup Mi Kuah Bakso;350;8;13;15
Mie Sedaap Cup Mi Kuah Soto;370;8;14;16
Mie Sedaap instan rasa kari spesial;150;8;12;14
Mie Sedaap instan white curry;360;8;13.8;14
Mie Sedaap Instant Rasa Soto 75 g;340;8;3;13
Mie sedaap kari spesial;340;8;10;13
Mie Sedaap selection korean sicy soup;350;10;40;13
Mie sedap cup kuah baso spesial;360;9;46;17
Mie Sedap cup mi kuah rasa kari spesial;371;7;45;16
Mie Sedap cup mie kuah rasa baso spesial;360;5;28;17
Mie sedap instan goreng kriuk;420;9;42;18
Mie sedap instan kari spesial;350;8;39;14
Mie telur cap 3 ayam;230;8;640;0
Mie telur urai original pipih cap burung dara;510;21;3.8;2
Mie telur urai pipih cap burung dara;510;21;10;2
milku susu uht rasa coklat premium;160;6;7.94;4.5
Milna beras merah;210;6;6.7;5
Milna kacang hijau;210;6;6.6;5
Milna pisang;210;6;40;4.5
Milo bubuk;80;2;15.4;2
Milo cair (coklat;120;3;26.2;4
MILO cereal;110;2;32.5;1
minuman nutriboost rasa mangga;170;2;14.3;1.5
Misoa cap ikan paus (mentah;220;7;0;1.5
Mitratani edamame;100;10;8.54;4
Mixed nut and Ham Mooncake;245;5.4;1.9;15.3
Mizone;45;0;1.1;0
Monster  tropical muesli;355;9;39.8;8.2
Monster sports muesli;359;11.7;5.8;8.3
Mr. Bread Roti Kasur manis;260;7;6;7
Mr. Bread Roti manis coklat special;179;5.5;31.76;3.5
Mr. Bread Roti manis gandum keju;190;6;57;6
Mr. Bread Roti manis kasur coklat;320;8;1;10
Mr. Bread Roti manis kasur coklat susu;320;7;25;12
Mr. Bread Roti manis pandan coklat srikaya;330;7;20;11
Mr. Bread Roti Sandwich krim keju;160;3;20;6
Mr. Bread Roti Sandwich Pasta Coklat;150;4;7.6;4.5
Mr. Bread Roti tawar;198;7;7.12;3
Mr. Bread Roti tawar choco chips;227;7;7.44;5
Mr. Bread Roti tawar gandum;199;7;34.5;3
Mr. Bread Roti tawar kupas;119;4.5;23;2
MR. P Honey Peanuts;150;7;1;12
MR.P Cashewnuts;250;7;4;19
MR.P Garlic peanut;240;6;79.5;17
Multigrain Bread;240;8;1;6
Mustard;9;0.56;85;0.5
Nasi coklat;112;2.3;16.7;0.8
Nasi Goreng;500;7;18.7;34.4
Nasi Shirataki;9;0;12.3;0
Nasi Uduk;163;2.54;0;8.09
Natural- A Almond milk original;60;1;0;3
Nescafe black;60;0;0.4;0
Nescafe latte;130;4;0;3.5
Nescafe original 3 in 1;80;1;13;2
Nestle air minum;0;0;49.6;0
Nestle Carnation (kental manis;100;1;23.7;3
Nestle corn flakes;110;2;24.3;0.5
Nestle nestum;130;3;20.38;1.5
Nextar;45;0;31.5;1.5
Nissin Gekikara Ramen rasa Ayam Pedas;360;7;2;14
Nissin Gekikara Ramen Rasa Carbonara Pedas;350;7;12;12
Nissin UFO fried ramen 100 g;470;8;3;21
Nissin wafer;140;2;46;9
Nu Green Tea less sugar;100;0;31;0
Nu Green Tea madu;200;0;102;0
Nu Green Tea original;175;0;44;0
Nu Oceana;60;0;34;0
Nulife sweetener;5;0;16;0
Nutri Boost Jeruk;100;1;29;1
Nutrisari Florida orange;50;0;14;0
Nutrisari Jeju orange;60;0;15.9;0
Nutrisari jeruk manis;120;0;43;0
Nutrisari jeruk nipis;110;0;6.3;0
Nutrisari jus jambu;60;0;52;1.5
Nutrisari jus mangga;60;0;45;1
Nutrive Benecol;60;1;51;2
Nuttela;80;1;18.1;4.5
Oat 8 Almond;150;3;10.5;7
Oat 8 Kacang ijo;130;3;16.4;4
Oatsy quick cook;120;4;17.8;3
Oatsy Rolled oats;120;4;45;3
Oatsy Steel cut oats;120;3;53;3
Okonomiyaki;219;8.61;49;8.94
Omni Bar;160;5;9.4;6
Omni Bar dark chocolate;160;3;46.5;5
OMURA Panna Cottarasa cokelat (87 g;400;12;47;16
Onion rings;410;4;48;21
Oreo;140;1;42;6
Origo coffe avocado coffe;160;4.04;57;6.02
Origo coffe cereal latte;238;6.8;47;6
Origo coffe coconut coffe;160;4.64;56;5.62
Origo coffe es kopi susu;191;6.23;5;7.22
Origo coffe Rose latte;118;4.8;49;5.5
Origo coffe strawberry kopi susu;108;2.43;53;4.34
Outback steackhouse new york strip;810;63;102;62
Outback steackhouse outback special;280;51;22;9
Outback steackhouse Ribeye;540;58;36;35
Outback steackhouse slow roasted prime rib;700;46;36;57
Outback steackhouse T-Bone;910;79;36;64
Outback steackhouse Victoria's Filet;320;53;13;12
Ovomaltine;109;0.8;17;6.4
Pan Fried Turnip Cake;120;2.7;0;4.8
Pan Fried Vegetable and Meat Bun;160;3.7;0;7.5
Pancake original;160;4;0;7
pang-pang manis;454.99;3.72;0;18.43
Pasta (matang;158;5.8;21.38;0.93
Pasta La fonte macaroni with cheese;230;8;11;3
Pasta La fonte spaghetti with bolognese sauce;420;10;8.6;0
Pasta La fonte spaghetti with chicken sauce;340;10;25;8
Pasta La fonte spaghetti with mushroom sauce;340;8;75;4
Perkedel Kentang;90;0.46;27;1.12
Pie Apel;237;1.9;13.3;11
Pizza Base;110;3;25;1
Pocari sweat;70;0;53;0
Pocky Choco banana;220;3;21;10
Pocky Chocolate;230;3;19;10
Pocky Cookies dan cream;210;3;62;10
Pocky double choco;240;4;22;12
Pocky matcha;160;3;14;7
Pocky Strawberry;220;3;20;10
pop mie rasa soto ayam dengan nasi;250;7;8;15
Pringles potato crisps 25 g;130;1;14;6
Promina milky beras merah;210;8;13;4.5
Promina pisang susu;210;8;9;4.5
Promina smooth kacang hijau;210;8;17;4.5
Pronas kornet sapi;80;6;25.55;3.5
Puding Coklat;157;3.05;21.2;4.52
Puff pastry sheet;200;3;53;13
Pureal soy milk;120;5;8;2.5
Purefarm coconut delight;160;6;20;5
Qtela Tempe;110;4;0;7
Quaker 3 in 1;120;1;0;3
quaker instan oatmeal;140;4;0;3.5
Quaker kari ayam;110;4;0;2.5
Quiznos Black angus steakhouse;780;47;0;27
Quiznos chicken carbonara;890;54;26;42
Quiznos classic italian;920;41;11.9;50
Quiznos honey mustard chicken;850;53;84.9;36
Quiznos peppercorn steak;840;20;18.8;42
Quiznos tuna melt;660;44;5.4;22
Red Bean Paste Mooncake;185;2.76;6.82;7.18
Red Bull;112;0;5.5;0
Red Hot Cajun  (classic wings;142;15;3.4;8
Rejuve beat that;39;0.4;30.86;0
Rejuve Classic Green;32;1;45;0
Rejuve Green Glory;46;1;60;0
Rejuve I Glow;38;0.4;42.4;0
Roasted Turkey (Kalkun Panggang, dada;189;29;4.92;7
Roma Marie Gold;90;2;1;3
Roma sari gandum;100;2;7;4
Rose brand bihun rasa ayam bawang;190;1;1;1
Rose brand bihun rasa ayam pedas;190;1;2;1.5
Roti gandum;267;10.72;3;3.24
Royco ayam bumbu rujak;10;0;38;0
Royco kaldu ayam;0;0;13;0
Royco kaldu sapi;0;0;34;0
Royco nasi goreng;15;0;10;0
Sake;134;0.5;35.5;0
Saladstop bold bulgogi;411.8;17.7;27.17;25.7
Saladstop Cobb;538;34;27.17;35.3
Saladstop Go Geisha;259.2;13.6;22;9.6
Saladstop Hail caesar w/o chicken;471.9;22.8;37;34.3
"Saladstop Iron ""wo"" man";442;13.2;17;32.3
Saladstop Jai Ho;324.9;22.3;36;14.3
Saladstop Oh Crab Lah;435.3;18.6;17;19.6
Saladstop Omega 3 baby;391.3;17.3;37;28.7
Saladstop Sea Breeze;379.3;29.5;17;23
Saladstop Sunshine jakarta;556.6;45.2;10;26.6
Saladstop tingtong;843.4;30.6;17;46.2
Saladstop Tuna San;327.8;19.5;28;18.9
Saluto;100;1;41;4
Sambal cuk ijo teri medan;190;2;25;17
