food_name,food_info
Ademsari chingku herbal tea,"Energi 90.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 kaleng, Protein 0.00 g, Karbohidrat total 21.00 g, Takaran Saji 325.00 ml, Lemak total 0.00 g"
Ades,"Energi 0.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 botol, Protein 0.00 g, Karbohidrat total 0.00 g, Takaran Saji 600.00 ml, Lemak total 0.00 g"
Agar-agar agarasa cokelat,"Energi 75.00 kkal, Natrium 50.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 sachet, Protein 0.00 g, Karbohidrat total 15.00 g, Takaran Saji 22.50 g, Lemak total 0.00 g"
Agar-agar agarasa stroberi,"Energi 25.00 kkal, Natrium 25.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 sachet, Protein 0.00 g, Karbohidrat total 10.00 g, Takaran Saji 10.00 g, Lemak total 0.00 g"
Agar-agar double swallow sun,"Energi 25.00 kkal, Natrium 10.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 sachet, Protein 0.00 g, Karbohidrat total 6.00 g, Takaran Saji 7.00 g, Lemak total 0.00 g"
Agar-agar nutrijell coklat,"Energi 120.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 sachet, Protein 4.00 g, Karbohidrat total 24.00 g, Takaran Saji 30.00 g, Lemak total 0.00 g"
Agar-agar Nutrijell Kelapa Muda,"Energi 10.00 kkal, Natrium 90.00 mg, Jumlah Sajian Per Kemasan 4.00 , Protein 0.00 g, Karbohidrat total 2.00 g, Lemak total 0.00 g"
Agar-agar nutrijell plain,"Energi 40.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 sachet, Protein 0.00 g, Karbohidrat total 12.00 g, Takaran Saji 15.00 g, Lemak total 0.00 g"
Agar-agar swallow globe brand,"Energi 20.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 sachet, Protein 0.00 g, Karbohidrat total 8.00 g, Takaran Saji 7.00 g, Lemak total 0.00 g"
Aglio e olio,"Energi 248.00 kkal, Natrium 1.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 mangkuk/cup, Protein 6.00 g, Karbohidrat total 40.00 g, Takaran Saji 128.00 g, Lemak total 6.00 g"
ahh nabati,"Energi 50.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 �, Jumlah Per Sajian 1.00 bungkus, Protein 0.00 g, Karbohidrat total 7.00 g, Takaran Saji 5.50 g, Lemak total 2.00 g"
air putih / air mineral / air minum,"Energi 0.00 kkal, Lemak total 0.00 g, Protein 0.00 g, Karbohidrat total 0.00 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg, Air 100.00 g, Abu 0.00 g"
"Akar tonjong, segar","Air 86.70 g, Energi 45.00 kkal, Protein 1.10 g, Lemak total 0.40 g, Karbohidrat total 10.80 g, Abu 1.00 g, Natrium 96.00 mg, B-Karoten 83.00 mcg, Karoten total 90.00 mcg"
"Ale, toge, tauge, kecambah, segar","Energi 37.00 kkal, Lemak total 0.50 g, Protein 4.40 g, Karbohidrat total 3.80 g, Natrium 2.00 mg, B-Karoten 0.00 mcg, Karoten total 35.00 mcg, Air 90.60 g, Abu 0.70 g"
"Almond, kacang Almond","Energi 613.00 kkal, Lemak total 54.84 g, Protein 19.30 g, Karbohidrat total 16.13 g, Natrium 710.00 mg"
"Alpukat, segar","Air 84.30 g, Energi 85.00 kkal, Protein 0.90 g, Lemak total 6.50 g, Karbohidrat total 7.70 g, Abu 0.60 g, Natrium 2.00 mg, B-Karoten 189.00 mcg, Karoten total 180.00 mcg"
"Amparan, tatak","Air 58.40 g, Energi 191.00 kkal, Protein 1.30 g, Lemak total 5.50 g, Karbohidrat total 34.00 g, Abu 0.80 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
Ampas kacang hijau,"Air 70.60 g, Energi 96.00 kkal, Protein 3.70 g, Lemak total 0.60 g, Karbohidrat total 19.10 g, Abu 0.60 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
Ampas tahu kering,"Air 9.00 g, Energi 414.00 kkal, Protein 26.60 g, Lemak total 18.30 g, Karbohidrat total 41.30 g, Abu 5.80 g, Natrium 45.00 mg, B-Karoten 24.00 mcg, Karoten total 0.00 mcg"
Ampas tahu kukus,"Air 82.50 g, Energi 75.00 kkal, Protein 4.10 g, Lemak total 2.10 g, Karbohidrat total 10.70 g, Abu 0.60 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
Ampas tahu mentah,"Air 84.10 g, Energi 67.00 kkal, Protein 5.00 g, Lemak total 2.10 g, Karbohidrat total 8.10 g, Abu 0.60 g, Natrium 8.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Anak sapi, daging, gemuk,segar","Air 62.00 g, Energi 184.00 kkal, Protein 18.80 g, Lemak total 14.00 g, Karbohidrat total 0.00 g, Abu 5.20 g, Natrium 118.00 mg, B-Karoten 37.00 mcg, Karoten total 0.00 mcg"
"Anak sapi, daging, kurus,segar","Air 69.00 g, Energi 174.00 kkal, Protein 19.60 g, Lemak total 10.00 g, Karbohidrat total 0.00 g, Abu 1.40 g, Natrium 96.00 mg, B-Karoten 30.00 mcg, Karoten total 0.00 mcg"
"Anak sapi, daging,sedang,segar","Air 68.00 g, Energi 190.00 kkal, Protein 19.10 g, Lemak total 12.00 g, Karbohidrat total 0.00 g, Abu 0.90 g, Natrium 99.00 mg, B-Karoten 83.00 mcg, Karoten total 0.00 mcg"
"Andaliman, segar","Air 74.20 g, Energi 99.00 kkal, Protein 4.60 g, Lemak total 1.00 g, Karbohidrat total 18.00 g, Abu 2.20 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 6300.00 mcg"
