food_name,food_info
Go Natural nut delight,"Energi 206.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 biji, Protein 6.20 g, Karbohidrat total 11.00 g, Takaran Saji 40.00 g, Lemak total 15.40 g"
Go Potato,"Energi 100.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 2.00 g, Karbohidrat total 14.00 g, Takaran Saji 20.00 g, Lemak total 4.00 g"
Goji berry (kering,"Energi 349.00 kkal, Lemak total 0.39 g, Protein 14.26 g, Karbohidrat total 77.06 g, Karbohidrat total 77.06 g, Karbohidrat total 77.06 g, Karbohidrat total 77.06 g, Karbohidrat total 77.06 g, Karbohidrat total 77.06 g, Karbohidrat total 77.06 g, Karbohidrat total 77.06 g, Karbohidrat total 77.06 g, Karbohidrat total 77.06 g, Karbohidrat total 77.06 g, Karbohidrat total 77.06 g, Karbohidrat total 77.06 g, Karbohidrat total 77.06 g, Karbohidrat total 77.06 g, Karbohidrat total 77.06 g, Karbohidrat total 77.06 g, Karbohidrat total 77.06 g"
Golda Coffee,"Energi 140.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 botol, Protein 2.00 g, Karbohidrat total 27.00 g, Takaran Saji 200.00 ml, Lemak total 2.00 g"
Golden Farm corn kernel,"Energi 70.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 3.00 g, Karbohidrat total 14.00 g, Takaran Saji 100.00 g, Lemak total 1.00 g"
Golden Farm french fries,"Energi 170.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 3.00 g, Karbohidrat total 29.00 g, Takaran Saji 100.00 g, Lemak total 4.50 g"
Golden Farm frozen pea,"Energi 90.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 7.00 g, Karbohidrat total 12.00 g, Takaran Saji 100.00 g, Lemak total 1.00 g"
Golden Farm mixed vegetable,"Energi 70.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 3.00 g, Karbohidrat total 14.00 g, Takaran Saji 100.00 g, Lemak total 1.00 g"
Good day cappuccino,"Energi 170.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 botol, Protein 1.00 g, Karbohidrat total 32.00 g, Takaran Saji 250.00 ml, Lemak total 3.50 g"
Good Day rock caramello 3 in 1 200g,"Energi 100.00 kkal, Natrium 100.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 sachet, Protein 1.00 g, Karbohidrat total 14.00 g, Takaran Saji 20.00 g, Lemak total 4.50 g"
Good Time Cookies,"Energi 140.00 kkal, Natrium 220.00 mg, Jumlah Sajian Per Kemasan 6.00 �, Jumlah Per Sajian 0.00 keping, Protein 2.00 g, Karbohidrat total 21.00 g, Takaran Saji 30.00 g, Lemak total 6.00 g"
Good time double choc,"Energi 80.00 kkal, Natrium 80.00 mg, Jumlah Sajian Per Kemasan 4.50 , Jumlah Per Sajian 1.00 bungkus, Protein 1.00 g, Karbohidrat total 11.00 g, Takaran Saji 16.00 g, Lemak total 3.50 g"
Good time mini,"Energi 100.00 kkal, Natrium 90.00 mg, Jumlah Sajian Per Kemasan 20.00 , Protein 1.00 g, Karbohidrat total 13.00 g, Lemak total 4.50 g"
Goodmood,"Energi 50.00 kkal, Natrium 70.00 mg, Jumlah Sajian Per Kemasan 2.00 , Jumlah Per Sajian 1.00 botol, Protein 0.00 g, Karbohidrat total 14.00 g, Takaran Saji 225.00 ml, Lemak total 0.00 g"
Granola (matang,"Energi 471.00 kkal, Lemak total 19.80 g, Protein 10.10 g, Karbohidrat total 64.40 g, Karbohidrat total 64.40 g, Karbohidrat total 64.40 g, Karbohidrat total 64.40 g, Karbohidrat total 64.40 g, Karbohidrat total 64.40 g, Karbohidrat total 64.40 g, Karbohidrat total 64.40 g, Karbohidrat total 64.40 g, Karbohidrat total 64.40 g, Karbohidrat total 64.40 g, Karbohidrat total 64.40 g, Karbohidrat total 64.40 g, Karbohidrat total 64.40 g, Karbohidrat total 64.40 g, Karbohidrat total 64.40 g, Karbohidrat total 64.40 g, Karbohidrat total 64.40 g"
Granola Bites chocolate vanilla,"Energi 159.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 3.00 g, Karbohidrat total 21.00 g, Takaran Saji 30.00 g, Lemak total 8.00 g"
Granola bites coconut banana,"Energi 129.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 2.00 g, Karbohidrat total 17.00 g, Takaran Saji 330.00 g, Lemak total 6.00 g"
Granola creation cinnamon and raisin,"Energi 225.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 7.00 g, Karbohidrat total 36.00 g, Takaran Saji 60.00 g, Lemak total 5.00 g"
Granola creation dark chocolate,"Energi 236.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 7.00 g, Karbohidrat total 38.00 g, Takaran Saji 60.00 g, Lemak total 7.00 g"
Granola creation honey and mango,"Energi 222.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 7.00 g, Karbohidrat total 38.00 g, Takaran Saji 60.00 g, Lemak total 5.00 g"
Granola creation tropical fruit and nuts,"Energi 162.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 7.00 g, Karbohidrat total 23.00 g, Takaran Saji 60.00 g, Lemak total 5.00 g"
Greenfields UHT Full Cream Milk,"Energi 160.00 kkal, Natrium 75.00 mg, Jumlah Sajian Per Kemasan 1.00 , Protein 8.00 g, Karbohidrat total 12.00 g, Lemak total 9.00 g"
"Gudeg,sayur","Air 69.20 g, Energi 160.00 kkal, Protein 3.30 g, Lemak total 9.20 g, Karbohidrat total 16.00 g, Abu 2.10 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 166.00 mcg"
Gula aren / gula merah,"Energi 368.00 kkal, Lemak total 0.00 g, Protein 0.00 g, Karbohidrat total 92.00 g, Natrium 15.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg, Air 7.00 g, Abu 1.00 g"
Gula kelapa,"Air 10.00 g, Energi 386.00 kkal, Protein 3.00 g, Lemak total 10.00 g, Karbohidrat total 76.00 g, Abu 1.00 g, Natrium 2.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
Gula putih / Gula Pasir,"Energi 394.00 kkal, Lemak total 0.00 g, Protein 0.00 g, Karbohidrat total 94.00 g, Natrium 1.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg, Air 5.40 g, Abu 0.60 g"
"Gulai asam keueung, masakan","Air 86.00 g, Energi 52.00 kkal, Protein 10.00 g, Lemak total 0.50 g, Karbohidrat total 1.80 g, Abu 1.70 g, Natrium 332.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
Gulai ayam paha,"Energi 168.00 kkal, Natrium 173.00 mg, Jumlah Sajian Per Kemasan 1.00 , Protein 11.94 g, Karbohidrat total 3.33 g, Lemak total 12.40 g"
"Gulai ikan paya, masakan","Air 72.10 g, Energi 148.00 kkal, Protein 10.00 g, Lemak total 9.80 g, Karbohidrat total 5.00 g, Abu 3.10 g, Natrium 525.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Gulai ikan, masakan","Air 75.70 g, Energi 106.00 kkal, Protein 16.50 g, Lemak total 3.30 g, Karbohidrat total 2.50 g, Abu 2.00 g, Natrium 743.00 mg, B-Karoten 0.00 mcg, Karoten total 2760.00 mcg"
Gulai kambing,"Air 78.40 g, Energi 126.00 kkal, Protein 4.20 g, Lemak total 9.40 g, Karbohidrat total 6.20 g, Abu 1.80 g, Natrium 302.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Gulai keumamah, masakan","Air 81.40 g, Energi 110.00 kkal, Protein 5.90 g, Lemak total 8.20 g, Karbohidrat total 3.20 g, Abu 1.30 g, Natrium 335.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
Gulai pakis,"Air 76.10 g, Energi 143.00 kkal, Protein 4.00 g, Lemak total 11.40 g, Karbohidrat total 6.00 g, Abu 2.60 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 9802.00 mcg"
Gulai pliek,"Air 71.90 g, Energi 176.00 kkal, Protein 7.30 g, Lemak total 14.90 g, Karbohidrat total 3.20 g, Abu 2.70 g, Natrium 257.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Gulai tiram, masakan","Air 73.10 g, Energi 132.00 kkal, Protein 9.00 g, Lemak total 7.20 g, Karbohidrat total 7.80 g, Abu 2.90 g, Natrium 285.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Gurame asem manis, masakan","Air 63.10 g, Energi 192.00 kkal, Protein 12.70 g, Lemak total 10.10 g, Karbohidrat total 12.70 g, Abu 2.40 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 1440.00 mcg"
Gurandil,"Air 47.50 g, Energi 218.00 kkal, Protein 0.50 g, Lemak total 2.50 g, Karbohidrat total 48.50 g, Abu 1.00 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
Ha-Gau,"Energi 50.00 kkal, Natrium 120.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 potong, Protein 2.10 g, Karbohidrat total 5.60 g, Takaran Saji 31.00 g, Lemak total 2.10 g"
Ham,"Air 42.00 g, Energi 384.00 kkal, Protein 16.90 g, Lemak total 35.00 g, Karbohidrat total 0.30 g, Abu 5.80 g, Natrium 112.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
Hangop/Butter milk/Whey,"Air 84.00 g, Energi 65.00 kkal, Protein 10.00 g, Lemak total 1.00 g, Karbohidrat total 3.50 g, Abu 1.50 g, Natrium 126.00 mg, B-Karoten 22.00 mcg, Karoten total 0.00 mcg"
Happytos,"Energi 144.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 2.00 g, Karbohidrat total 16.00 g, Takaran Saji 25.00 g, Lemak total 7.00 g"
Hati kambing (mentah,"Energi 139.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 0.00 , Jumlah Per Sajian 1.00 potong, Protein 20.38 g, Karbohidrat total 1.78 g, Takaran Saji 100.00 g, Lemak total 5.02 g"
Haverjoy,"Energi 140.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 14.00 �, Jumlah Per Sajian 1.00 mangkuk/cup, Protein 3.00 g, Karbohidrat total 25.00 g, Takaran Saji 35.00 g, Lemak total 3.50 g"
Haverjoy Havermix Instant Oats & Choco Chips,"Energi 140.00 kkal, Natrium 10.00 mg, Jumlah Sajian Per Kemasan 14.00 , Protein 4.00 g, Karbohidrat total 25.00 g, Lemak total 3.00 g"
Hazelnut,"Energi 628.00 kkal, Lemak total 60.75 g, Protein 14.95 g, Karbohidrat total 16.70 g, Karbohidrat total 16.70 g"
Heavenly blush greek yogurt,"Energi 170.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 mangkuk/cup, Protein 6.00 g, Karbohidrat total 16.00 g, Takaran Saji 100.00 g, Lemak total 9.00 g"
Heavenly Blush Tumm Yogurt,"Energi 90.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Protein 2.00 g, Karbohidrat total 1.50 g, Lemak total 2.50 g"
Heavenly Kitchen Thai Tea Latte,"Energi 100.00 kkal, Natrium 70.00 mg, Jumlah Sajian Per Kemasan 24.00 , Jumlah Per Sajian 1.00 sachet, Protein 1.00 g, Karbohidrat total 19.00 g, Takaran Saji 24.00 g, Lemak total 2.50 g"
Herba Penawar Alwahida Indonesia,"Energi 104.00 kkal, Natrium 27.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 gelas, Protein 1.00 g, Karbohidrat total 18.00 g, Takaran Saji 23.00 g, Lemak total 3.00 g"
Hershey's Spreads,"Energi 190.00 kkal, Natrium 50.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 2.00 sendok makan, Protein 3.00 g, Karbohidrat total 20.00 g, Takaran Saji 37.00 g, Lemak total 12.00 g"
Hickory smoked BBQ  (classic wings,"Energi 171.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 2.00 potong, Protein 15.00 g, Karbohidrat total 8.00 g, Takaran Saji 0.00 g, Lemak total 8.00 g"
HILO PLATINUM Swiss Chocolate Flavour,"Energi 130.00 kkal, Natrium 150.00 mg, Jumlah Sajian Per Kemasan 12.00 , Jumlah Per Sajian 1.00 sachet, Protein 8.00 g, Karbohidrat total 21.00 g, Takaran Saji 35.00 g, Lemak total 2.00 g"
hilo teen,"Energi 180.00 kkal, Natrium 135.00 mg, Jumlah Sajian Per Kemasan 6.00 , Jumlah Per Sajian 4.00 sendok makan, Protein 6.00 g, Karbohidrat total 33.00 g, Takaran Saji 45.00 g, Lemak total 2.50 g"
HiLo Thai Tea,"Energi 70.00 kkal, Natrium 35.00 mg, Jumlah Sajian Per Kemasan 1.00 , Protein 0.00 g, Karbohidrat total 12.00 g, Lemak total 2.00 g"
"Hofa / Ubi hutan, segar","Air 67.90 g, Energi 127.00 kkal, Protein 1.20 g, Lemak total 0.50 g, Karbohidrat total 29.50 g, Abu 0.90 g, Natrium 3.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
Hoka hemat 4,"Energi 413.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 20.30 g, Karbohidrat total 47.20 g, Takaran Saji 0.00 g, Lemak total 15.30 g"
Hokben Bento special 1,"Energi 612.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 24.20 g, Karbohidrat total 74.80 g, Takaran Saji 0.00 g, Lemak total 23.60 g"
Hokben Chicken karaage,"Energi 340.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 25.00 g, Karbohidrat total 15.00 g, Takaran Saji 0.00 g, Lemak total 20.50 g"
Hokben paket B,"Energi 522.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 26.30 g, Karbohidrat total 52.80 g, Takaran Saji 0.00 g, Lemak total 22.40 g"
Hokben Paket C,"Energi 625.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 35.40 g, Karbohidrat total 64.00 g, Takaran Saji 0.00 g, Lemak total 24.10 g"
Hokben Tori Ball,"Energi 250.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 7.00 g, Karbohidrat total 15.00 g, Takaran Saji 0.00 g, Lemak total 14.00 g"
Honey Stars,"Energi 110.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 mangkuk/cup, Protein 1.00 g, Karbohidrat total 25.00 g, Takaran Saji 30.00 g, Lemak total 0.50 g"
Hydro coco,"Energi 60.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 botol, Protein 0.00 g, Karbohidrat total 18.00 g, Takaran Saji 250.00 ml, Lemak total 0.00 g"
Hydromama,"Energi 0.00 kkal, Natrium 85.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 70.00 sachet, Protein 0.00 g, Karbohidrat total 18.00 g, Takaran Saji 18.00 g, Lemak total 0.00 g"
Ice Cone,"Energi 190.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 mangkuk/cup, Protein 5.00 g, Karbohidrat total 32.00 g, Takaran Saji 120.00 g, Lemak total 4.50 g"
Ichi ocha,"Energi 100.00 kkal, Natrium 35.00 mg, Jumlah Sajian Per Kemasan 1.00 �, Jumlah Per Sajian 1.00 botol, Protein 0.00 g, Karbohidrat total 26.00 g, Takaran Saji 330.00 ml, Lemak total 0.00 g"
Icithan Thai milk coffee,"Energi 210.00 kkal, Natrium 220.00 mg, Jumlah Sajian Per Kemasan 1.00 , Protein 4.00 g, Karbohidrat total 36.00 g, Lemak total 5.00 g"
"Ika n Mamar merah, segar","Air 75.00 g, Energi 115.00 kkal, Protein 15.30 g, Lemak total 4.00 g, Karbohidrat total 4.40 g, Abu 1.30 g, Natrium 120.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan asar merah, masakan","Air 69.20 g, Energi 146.00 kkal, Protein 17.70 g, Lemak total 5.90 g, Karbohidrat total 5.60 g, Abu 1.60 g, Natrium 170.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan asin, kering","Air 40.00 g, Energi 193.00 kkal, Protein 42.00 g, Lemak total 1.50 g, Karbohidrat total 0.00 g, Abu 16.50 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Bader, segar","Air 66.00 g, Energi 193.00 kkal, Protein 19.00 g, Lemak total 13.00 g, Karbohidrat total 0.00 g, Abu 2.00 g, Natrium 118.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Balong, segar","Air 76.50 g, Energi 107.00 kkal, Protein 16.50 g, Lemak total 3.90 g, Karbohidrat total 1.50 g, Abu 1.50 g, Natrium 86.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Bambangan, segar","Air 73.70 g, Energi 112.00 kkal, Protein 20.00 g, Lemak total 1.30 g, Karbohidrat total 3.70 g, Abu 1.30 g, Natrium 148.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Bandeng Presto, masakan","Air 45.30 g, Energi 296.00 kkal, Protein 17.10 g, Lemak total 20.30 g, Karbohidrat total 11.30 g, Abu 6.00 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 400.00 mcg"
"Ikan Bandeng, segar","Air 74.00 g, Energi 123.00 kkal, Protein 20.00 g, Lemak total 4.80 g, Karbohidrat total 0.00 g, Abu 1.20 g, Natrium 67.00 mg, B-Karoten 21.00 mcg, Karoten total 0.00 mcg"
"Ikan Banjar, segar","Air 73.50 g, Energi 111.00 kkal, Protein 19.40 g, Lemak total 0.90 g, Karbohidrat total 4.80 g, Abu 1.40 g, Natrium 99.00 mg, B-Karoten 62.00 mcg, Karoten total 0.00 mcg"
"Ikan Baronang, segar","Air 80.00 g, Energi 78.00 kkal, Protein 14.50 g, Lemak total 0.60 g, Karbohidrat total 3.70 g, Abu 1.20 g, Natrium 26.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Batung, segar","Air 75.70 g, Energi 115.00 kkal, Protein 14.50 g, Lemak total 4.60 g, Karbohidrat total 4.20 g, Abu 1.10 g, Natrium 42.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Baubara, segar","Air 75.50 g, Energi 100.00 kkal, Protein 14.70 g, Lemak total 2.40 g, Karbohidrat total 4.90 g, Abu 1.60 g, Natrium 390.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
Ikan Baung bakar,"Air 69.80 g, Energi 144.00 kkal, Protein 17.80 g, Lemak total 5.80 g, Karbohidrat total 5.20 g, Abu 1.40 g, Natrium 168.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Baung, segar","Air 74.90 g, Energi 123.00 kkal, Protein 15.10 g, Lemak total 5.50 g, Karbohidrat total 3.30 g, Abu 1.20 g, Natrium 32.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Bawal, segar","Energi 91.00 kkal, Lemak total 1.70 g, Protein 19.00 g, Karbohidrat total 0.00 g, Natrium 129.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg, Air 78.00 g, Abu 1.30 g"
Ikan Belida bakar,"Air 68.20 g, Energi 128.00 kkal, Protein 18.00 g, Lemak total 3.00 g, Karbohidrat total 7.20 g, Abu 3.60 g, Natrium 293.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Belida, segar","Air 79.20 g, Energi 80.00 kkal, Protein 14.70 g, Lemak total 1.40 g, Karbohidrat total 2.20 g, Abu 2.30 g, Natrium 41.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Beunteur, segar","Air 70.00 g, Energi 109.00 kkal, Protein 17.00 g, Lemak total 4.00 g, Karbohidrat total 0.00 g, Abu 9.00 g, Natrium 109.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Biawan, segar","Air 79.10 g, Energi 90.00 kkal, Protein 14.90 g, Lemak total 2.50 g, Karbohidrat total 2.10 g, Abu 1.40 g, Natrium 35.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Bili, segar","Air 68.30 g, Energi 88.00 kkal, Protein 14.20 g, Lemak total 0.70 g, Karbohidrat total 6.20 g, Abu 10.60 g, Natrium 217.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Bulan-bulan, segar","Air 66.70 g, Energi 134.00 kkal, Protein 25.50 g, Lemak total 1.30 g, Karbohidrat total 5.00 g, Abu 1.50 g, Natrium 197.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Cakalang asap, mentah","Air 56.90 g, Energi 204.00 kkal, Protein 34.20 g, Lemak total 5.60 g, Karbohidrat total 1.90 g, Abu 1.40 g, Natrium 176.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Cakalang asin, mentah","Air 41.70 g, Energi 198.00 kkal, Protein 36.50 g, Lemak total 2.20 g, Karbohidrat total 5.50 g, Abu 14.10 g, Natrium 4304.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Cakalang, hati, segar","Air 73.40 g, Energi 120.00 kkal, Protein 11.30 g, Lemak total 3.90 g, Karbohidrat total 10.00 g, Abu 1.40 g, Natrium 420.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Cakalang, jantung, segar","Air 76.30 g, Energi 116.00 kkal, Protein 11.20 g, Lemak total 1.20 g, Karbohidrat total 10.20 g, Abu 1.10 g, Natrium 360.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Cakalang, perut, segar","Air 79.10 g, Energi 86.00 kkal, Protein 10.20 g, Lemak total 1.10 g, Karbohidrat total 8.70 g, Abu 0.90 g, Natrium 230.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Cakalang, segar","Air 73.00 g, Energi 107.00 kkal, Protein 19.60 g, Lemak total 0.70 g, Karbohidrat total 5.50 g, Abu 1.20 g, Natrium 66.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Calo / peda, mentah","Air 71.30 g, Energi 81.00 kkal, Protein 11.40 g, Lemak total 1.90 g, Karbohidrat total 3.80 g, Abu 11.60 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Daun, segar","Air 78.60 g, Energi 101.00 kkal, Protein 11.50 g, Lemak total 4.10 g, Karbohidrat total 4.60 g, Abu 1.20 g, Natrium 120.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Dendeng mujahir, mentah","Air 15.20 g, Energi 582.00 kkal, Protein 68.30 g, Lemak total 15.20 g, Karbohidrat total 37.20 g, Abu 14.10 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 20.00 mcg"
"Ikan Ekor kuning, segar","Air 74.10 g, Energi 108.00 kkal, Protein 22.30 g, Lemak total 1.20 g, Karbohidrat total 2.10 g, Abu 0.30 g, Natrium 50.00 mg, B-Karoten 29.00 mcg, Karoten total 0.00 mcg"
"Ikan Gabus asap, mentah","Air 26.40 g, Energi 261.00 kkal, Protein 38.10 g, Lemak total 2.30 g, Karbohidrat total 21.90 g, Abu 11.30 g, Natrium 320.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
Ikan Gabus kering,"Air 24.00 g, Energi 268.00 kkal, Protein 58.00 g, Lemak total 4.00 g, Karbohidrat total 0.00 g, Abu 14.00 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Gabus, segar","Air 79.60 g, Energi 80.00 kkal, Protein 16.20 g, Lemak total 0.50 g, Karbohidrat total 2.60 g, Abu 1.10 g, Natrium 65.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
Ikan Gete goreng,"Air 44.70 g, Energi 267.00 kkal, Protein 23.10 g, Lemak total 19.40 g, Karbohidrat total 0.20 g, Abu 12.60 g, Natrium 590.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Gurame, Gurami","Energi 125.00 kkal, Lemak total 5.49 g, Protein 17.48 g, Karbohidrat total 0.00 g, Natrium 48.00 mg"
"Ikan Heu, segar","Air 75.60 g, Energi 81.00 kkal, Protein 10.00 g, Lemak total 1.60 g, Karbohidrat total 6.60 g, Abu 6.20 g, Natrium 240.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Hitam, segar","Air 78.20 g, Energi 101.00 kkal, Protein 10.30 g, Lemak total 3.70 g, Karbohidrat total 6.70 g, Abu 1.10 g, Natrium 70.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
Ikan Hiu kering,"Air 23.10 g, Energi 298.00 kkal, Protein 46.30 g, Lemak total 3.60 g, Karbohidrat total 20.20 g, Abu 6.80 g, Natrium 957.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Hiu, segar","Air 85.70 g, Energi 57.00 kkal, Protein 10.70 g, Lemak total 0.30 g, Karbohidrat total 2.20 g, Abu 1.10 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Kacangan, segar","Air 80.70 g, Energi 77.00 kkal, Protein 15.60 g, Lemak total 0.90 g, Karbohidrat total 1.60 g, Abu 1.20 g, Natrium 0.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
"Ikan Kakap merah (kamera), segar","Air 78.50 g, Energi 86.00 kkal, Protein 19.70 g, Lemak total 0.80 g, Karbohidrat total 0.00 g, Abu 1.30 g, Natrium 90.00 mg, B-Karoten 0.00 mcg, Karoten total 0.00 mcg"
